_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,geometry
740,1700,TR-04054,627,Queens Quay W,Queens Quay W,Centre South,Bathurst St,East,T13371A,10,The Waterfront,Q10-SA,Existing,Provincial,TS12664L,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3979757080791, 43.6358957943287]]}"
741,1702,TR-04058,514,Kipling Ave,Kipling Ave,West,Torlake Cres,North,T4381,03,,LCN,Existing,Provincial,S0604381,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.5227911125285, 43.6117296577392]]}"
742,1703,TR-04055,627,Queens Quay W,Queens Quay W,Centre South,Bathurst St,East,T13371B,10,The Waterfront,Q10-SA,Existing,Provincial,TS12666M,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3979366799141, 43.6359255630716]]}"
743,1704,TR-00464,318,Lawrence Ave E,Bayview Ave,West,Lawrence Ave E,Opposite,T11330,15,,A,Existing,Provincial,0TS11246,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3822514660511, 43.7277303602984]]}"
744,1705,TR-00468,2793,Keele St,Keele St,East,Paxtonia Blvd,South,924,06,,A,Temporarily Removed,Provincial,0TS10900,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.4823896408284, 43.7289631264302]]}"
745,1706,TR-00470,91,Danforth Rd,Danforth Rd,North,Magnolia Ave,East,89,20,,A,Existing,Provincial,0TS10862,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.2555810642, 43.723003489705]]}"
746,1707,TR-00473,834,Caledonia Rd,Caledonia Rd,West,Raitherm Rd,South,T739,08,,A,Existing,Provincial,0TS11438,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.4643716998446, 43.7016651430217]]}"
747,1708,TR-00479,1280,Leslie St,Leslie St,West,Overland Dr,North,814,15,,A,Existing,Provincial,0TS10838,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3543652088907, 43.7301990718717]]}"
748,1709,TR-00481,901,Coxwell Ave,Coxwell Ave,East,Cosburn Ave,South,2603,19,,A,Existing,Provincial,00TS8370,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3278076694222, 43.6939792814778]]}"
749,1710,TR-00483,4733,Steeles Ave E,Steeles Ave E,South,Silver Star Blvd,West,1297,22,,A,Temporarily Removed,Provincial,0TS11026,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3003328091357, 43.8250838294432]]}"
750,1712,TR-00487,550,Mortimer Ave,Mortimer Ave,North,Coxwell Ave,West,3027,14,,A,Existing,Provincial,00TS8232,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3268885860139, 43.6906179896088]]}"
751,1713,TR-00495,11,Orchard Grn,Moore Ave,North,Orchard Grn,West,3090,15,,A,Existing,Provincial,00TS6364,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3742901883272, 43.6963926715283]]}"
752,1714,TR-00497,104,Lansdowne Ave,Lansdowne Ave,East,Seaforth Ave,North,2665,04,,A,Existing,Provincial,00TS6316,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.4378517916372, 43.6440097347628]]}"
753,1715,TR-00499,2931,Danforth Ave,Danforth Ave,South,Sibley Ave,West,2173,19,Danforth Village,A,Existing,Provincial,00TS8210,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.2928619326114, 43.6900852887503]]}"
754,1717,TR-00505,181,Bay St,Bay St,East,Wellington St W,South,1905,13,Financial District,Z,Existing,Provincial,00TS7742,Yes,Existing,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3795264688606, 43.6471583717063]]}"
755,1719,TR-00509,2100,Queen St E,Wineva Ave,West,Queen St E,North,T6213,19,The Beach,Q,Existing,Provincial,0TS6796P,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.2959170832767, 43.6711666714598]]}"
756,1720,TR-00511,2621,Midland Ave,Midland Ave,North,Lockie Ave,East,T5714,23,,A,Temporarily Removed,Provincial,0TS11286,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.2799939229552, 43.7892713561616]]}"
757,1721,TR-00514,2300,Danforth Ave,Danforth Ave,North,Gledhill Ave,East,T891,19,Danforth Mosaic,J,Existing,Provincial,0TS10816,Yes,Existing,0,"{'type': 'MultiPoint', 'coordinates': [[-79.308282237108, 43.6868192016904]]}"
758,1722,TR-00516,1470,Yonge St,Yonge St,West,St Clair Ave W,North,2558,12,Yonge & St. Clair,J,Existing,Provincial,00TS6852,Yes,Existing,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3942745557065, 43.6882718168765]]}"
759,1723,TR-04056,627,Queens Quay W,Queens Quay W,Centre South,Bathurst St,East,T13371C,10,The Waterfront,Q10-SA,Existing,Provincial,TS12668R,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3978374989288, 43.6360031924238]]}"
760,1724,TR-04057,611,The Queensway,The Queensway,South,Grand Ave,West,T6890,03,Shop The Queensway,LC,Existing,Provincial,0TS12823,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.4948197604287, 43.6279495528159]]}"
